title,questions,answers
Nine_Puzzle,"""It can be shown that the puzzle is solvable iff the permutation of the integers 1, . . . , 8, determined by reading those integers off the puzzle from top to bottom and from left to right, is even.""

I do not quite understand the implication of this sentence in the nine_puzzle problem.  What actually does 'permutation' mean in this sentence?",It means the configuration of the puzzle. This link is helpful. https://math.stackexchange.com/questions/293527/how-to-check-if-a-8-puzzle-is-solvable
Cover more and deeper about DP,"In today's lecture, only about 20 minutes left for dynamic programming, which is definitely not enough. DP is a powerful tool and I find the most difficult part is to find the transition equations for each state. Could you talk more about DP in next Monday's lecture? Thanks","Yes Tianle, you are right, I will indeed go over this material on Monday."
Interest in COMP9024 being offered this coming summer session?,"It would have been better to set up a proper survey, but that should do... Please express your interest in case you would like COMP9024 to be offered this summer (not for me, I would not be the lecturer).","Yes, I am Interested.

9024 is really a good course and if you are the lecturer it will be great."
"Doubt in Mid Term Questions, Lab 5: 9 puzzle","Hi Eric ! In the Lab 5 ""9 puzzle"" question I had difficulty understanding this statement: ""iff the permutation of the integers 1, . . . , 8, determined
 by reading those integers off the puzzle from top to bottom and from left to right, is even. ""

If I am unable to understand what the question asks of me during the Mid Term Test can I ask anyone(Invigilator) for clarification ?","Hi Feng, I was referring to this notion:

https://en.wikipedia.org/wiki/Parity_of_a_permutation

You sure can ask questions to the invigilator during the exam, Amrut."
Mistake in question 4,"When I did the question 4 in the mid-term exam, I found that the output in PDF and the output in testdoc are different..In PDF, it says The Beroth... pair is ..., However, in testdoc, it says The Beroth.... is...,which removes the word 'pair'.. So which should we follow? Or both are correct?","Yes Fengting, no worries, I will use regular expressions and match what matters for all exercises."
problems about mid-term exam,"I'm Zhu BIN   z5137034
, your student.

In tonight's exam, I have a significant problem about my exercise 3 and 4.

I'm pretty sure that my output is the same as the expected outputs, but the auto-test system showed that I didn't pass the tests, None of them! But with the help of tutor, we checked my outputs, finding out that my outputs are perfectly same as pridicted outputs. So I'm just wondering what's wrong with my codes or the system...

Could you please help me to check my exercise 3 and 4 please ~  I really need your help,","Hi Zhu, I guess it's because python (or the doctest module) considers a tab and 4 spaces are not the same. I've got the similar problem that the output seemed to be the same but I couldn't pass the test. After I tried to change tabs in my output to spaces, and I passed it. Maybe we're used to write program in such IDEs that can correct our tab&space problem automatically. But when coding on IDLE, just try to do it by yourself and be careful with these invisible 'traps'.

Hope it helps,"
remote access lab machines?,"Hi, is there a way to remote access lab machines in GUI? SSH method is command prompt only.I'd like to remote access from windows..",http://taggi.cse.unsw.edu.au/FAQ/Really_quick_guide_to_VLAB/
Quiz 6 cycle decomposition,,
IDLE Debugger Issue?,,
Quiz 6 error handling,I didn't get the point of ' class PermutationError' what is it used for? And how we may use is. I did't find any instruction on that one.,FYI: https://julien.danjou.info/blog/2016/python-exceptions-guide
Exception Doubt,,
Quiz 6 - Doctest File,,
Quiz 6 inverse function,"def inverse(self):
    values=([c for cycle in self.cycles for c in cycle])
    inv=Permutation("","".join(str(c) for c in test))
    return inv
Hi. I'm trying to get the values from the cycles (self.cycles) generated (which is a list of tuples) into a sequence of integers separated by comma to pass to a new Permuation object. However, I can't figure out how to convert it from either list or tuple or string to comma separated integers without creating variables for each value, which won't be possible when the number of values can vary.  The above code snippet obviously does not work because each number will be represented as a string.

Any help would be much appreciated.","We talked about both uses of * , applied to function arguments, and applied to function parameters. Don't you want Permutation(*values)?

As an aside, why do you put parentheses around [c for cycle in self.cycles for c in cycle]?"
about quiz6 submission,"Today I'm trying to submit my quiz6.py on ed, but didn't pass all of the tests. 

I mean only those one with exceptions didn't pass, because the predicted output contain the work directory on your computer, which doesn't match our directory on ed.

I'm sure I've fulfilled all of the functionalities, but can not pass the auto-tests, that means I can not submit my result.

What should we do?","Hi Bin, I do not match the work directory on my computer, I submitted my code on Ed and it passes all tests, so it has to be something else."
Quiz 6 - trailing comma,"For quiz 6, if we have a Permutation of length = 1, should there be a trailing comma when we call __repr__?

>>> Permutation(length = 1)

Permutation(1,)?","Hi Timothy, yes, as (1,) is a tuple consisting of 1 element, whereas (1) is the number 1 surrounded by parentheses. This is one of the places where Python is not very elegant.

"
Quiz - 6 Empty Permutations Multiplication,"Professor,

p1 = Permutation()

p2 = Permutation()

p1 * p2 should be ""()"" or raise an error?","Hi Jose, ()."
Quiz 6 - Permutations into cycles,"With quiz 6 and the decomposition into cycles. Could anyone point me in the direction of any resources to find the syntax of how to do it. I understand the theory behind cycle notation, just can't remember seeing the process being done anywhere.",Eric explained the quiz in Sep 7th Lecture. Quiz explaining starts at 2:02:28. 
Quiz 6 - Dealing with Repetitions,"Hi Eric, there are no  examples showing repetitions ( Ex: (1, 2,2,3,4,6) ). Are we supposed to show ""Cannot generate permutation from these arguments"" Error ? Or repetitions won't be a part of the testing space ? ","Hi Amrut, that is incorrect arguments indeed, you should generate the ""Cannot generate permutation from these arguments"" error."
Lab_7 Q3 The Target puzzle,"I was working on Lab_7 Q3 and got some minor issues with the solution.


Sample output:

In decreasing order of length between 9 and 5:

l solution of length 9

2 solutions of length 6

6 solutions of length 5

My output:

In decreasing order of length between 9 and 5:

1 solution of length 9

2 solutions of length 6

6 solutions of length 5

There must be a mistake in the sample output where 1 (one) was written as l (L).

/////////////////

/////////////////

print(target)

___________


| I | M | R |

___________

| V | O | Z |

___________

| A | T | K |

___________

After ""target.change_target('IVAKZRMO', 'DAFNEMRS')"",

Sample output:

___________


| D | T | M |

___________


| A | S | E |

___________


| F | R | N |

___________


My output:

___________


| D | R | M |

___________

| A | S | E |

___________

| F | T | N |

___________


Since ""T"" was not in the change_target strings, from my understanding it should remain in its place, which is at the bottom row. I was not quite clear why it was moved to the top row.","Hi Feng, indeed ""l"" instead of ""1"", fixed everywhere. You are right about target change, the pdf displays the correct output, fixed under Challenges. And I also realised that __repr__ did not display the closing parenthesis, fixed everywhere. Thank you for your careful reading!"
Quiz 6 - Difference between q=p1*p2 and p2*=p1,"Hi ! Can someone kindly explain to me again how the result of q is different from p2. Are they not similar operation, albeit done using different syntax ?(I know I am missing something critical, can't figure out what though.) 

<Extract from Quiz 6 pdf>

>>> p1 = Permutation(5, 4, 3, 2, 1)

>>> p2 = Permutation(2, 4, 1, 5, 3)

>>> q = p1 * p2

>>> q

Permutation(3, 5, 1, 4, 2)

>>> p2 *= p1

>>> p1

Permutation(5, 4, 3, 2, 1)

>>> p2

Permutation(4, 2, 5, 1, 3)","The order of your arguments is important.
See if q = p1 *  p2 is the same as q = p2 * p1. They are not commutative, wrongly assume ""*"" operation to be commutative. "
Something tricky about the method 'round',"When I use the function 'round' in A1Q4， I find it can not reduce extra digits correctly. Can you please explain why?a=0.03885
print(round(a,4))
b=3.885
print(round(b,2))
0.0389
3.88Above is my test code, i got two different outputs. But I think round(b,2) should be 3.89.
","Hi Fengting, the following explains.a = 0.03885
b = 3.885
print(f'{a:.16f}')
print(f'{b:.16f}')0.0388500000000000
3.8849999999999998

"
invalid character in identifier,"When I test the command Permutation(’No Way’) it gives an exception:

invalid character in identifier

It seems the character ’ is causing the error. But how should I handle this? I'm unable to find answer through google.","Hi Fangqian, no, first do not use hard coded code points like 39 in your program, second it is all about the input, not your program, I will test your program with ascii characters, not the non-ascii kind of quote that you pasted from the pdf, this is what you have to edit. Answered already a while ago, this is due to copying and pasting from the pdf, you have to edit the apostrophe and replace it by the ascii apostrophe."
"Assignment 1 results, staggered?","Some people already have all their assignment 1 results, whereas others have only received q1 or q1&4.

Just wondering if they're coming out piecemeal or if there's something wrong.. been refreshing email all day :D","Hi Scott, I ran the mailing scripts for the 4 questions this morning, but I know from experience that delays can be experienced. Personally, I have received the result for Q1 only, hence I am one of the worst affected by this unbearable uncertainty of when will the others will come up, I have clicked on the refresh button so much that my right index is close to forever ruined. At some point, if the queue seems not to want and flush out, I will run the scripts again."
Quiz 6: Permutation(length = 100000),"Can you please share the max length for which the code should work? I mean could it be very huge number or something within 10k range.

My program currently crash with Permutation(length = 100000), there would be too many cycles for huge length so I assume it may not that big number, or do i need to optimise it, please confirm ","I will test it with smaller numbers, no need to optimise."
Ceiling of Inputs for Quiz and Assignment |Quiz and Assignment,"Hi, I am not sure if this particular question has been asked previously. (I know these questions being asked for specific Quizzes and Assignments) 

How are we supposed to know that the program is optimized enough to handle the test cases provided for final evaluation after being submitted on ed ?

Is it expected of us to keep optimizing the code to the best of our ability ?  
Shouldn't we get some kind of input ceiling as part of our specification pdf ? ","I think that keeping problems open, letting you think about optimisation (whether it is appropriate or not) and push your solution up to the point where you make a judgement that it is good enough, is best; but I have been weak and often provided upper bounds."
Assignment 2 -- marking of the corner numbers,"I was working on Assignment 2, when I noticed after marked_tex_output(), the smaller (candidate) numbers are scattered to different corners. I was not quite clear to which criteria they were placed into the specific corners, since in J. F. Crook's paper, he just put all candidate numbers together. 

Could you please show me the rule to locate the candidate numbers? ","Hi Feng, they are put at fixed positions (just so that it looks nice), the examples show you where each marked number is supposed to be."
"Testing of Assignment 1, question 3",,"There was a small mistake in the marking script in that tests 15 to 18 did not exit, so they all naturally ""fail"". As shown in the commands and expected outputs file, there were 14 tests for that question, for a total mark of 2.5, so just ignore tests 15 to 18 and their alleged ""failure""."
Question about forced sudoku,,
Can we share/discuss our test cases?,Can we share our test cases? those which we do ourself and are not part of the quiz/assignment pdfs.,"Hi Shoaib, sure, that is perfectly fine."
penalty field,,
Enquiry for assignment2,"In the assignment 2,  for the extreme sample as follows,  the position(0,0) can not be filled in any number obviously. So what should we do when it call the forced_tex_output() or worked_tex_output() function?

Print 0 for forced_tex_output()?

Print null for marked_tex_output() or worked_tex_output()?

sample.txt:

0 2 3 1 0 0 0 0 0

4 5 6 0 0 0 0 0 0

7 8 9 0 0 0 0 0 0

1 0 0 0 0 0 0 0 0

0 0 0 0 0 0 0 0 0

0 0 0 0 0 0 0 0 0

0 0 0 0 0 0 0 0 0

0 0 0 0 0 0 0 0 0

0 0 0 0 0 0 0 0 0

","Hi Junnan, we call the forced_tex_output() and worked_tex_output() functions only when the preassess() function says that there might be a solution (as done with the 5 sample test cases).  Here we can apply the other methods. This is a case where forced has the same output as bare. We do not distinguish between not solving because the problem is not solvable, or because the techniques we use are too limited."
"output about quiz 6,__repr__()","In this thread, you mentioned that when we call __repr__, it should have a trailing comma. and 'print' method should not have a trailing comma. However, in the expected output you send to us, test 4, there is no trailing comma..Is it a mistake or I misunderstand what you said in that thread?","Hi Fengting, answered there. Please accept my apologies for this, as said there, next quiz will be out of 2.1, let us not spend excessive time on this, it is not worth it."
Quiz 7,"There are 2 entiries for Quiz 7:

Quiz 7

Quiz 7 - checking you did not cheat.

Should we put the solution in both?","Hi Sekhar, Quiz 7 is enough, I will download the submissions from Quiz 7 and from Quiz 7 only."
Quiz 7 PDF,Please upload the PDF for Quiz 7.,"Hi Swarna, as there are more files for this quiz, the pdf is the tarred archive."
quiz 7 regarding checking did you cheat.,"When we run our code on quiz 7 --checking you did not cheat and it says ""passed"" that means I have not cheated and my code is valid right?","Hi Sushma, it only means that you did not ""cheat"". To check that your code is actually correct (on the sample tests), you have to use Quiz 7 (the other one).

"
Quiz 7 chaking cheat,"In Quiz 7 when I test my code in the cheat checking part, it out put:

super().__init__(L)

You cheated!

however, that is the code for initializing the linkedlist that your provide.

How should I deal with it?","Hi Kevin, I guess you inserted lines in the stub, as that line occurs before line 8."
Numpy version,What version of numpy are you going to use to test the assignment?,"Hi Rod, there is no need for numpy for the assignment, but of course you can use it. I always have the latest version."
File does not exist,"If a file does not exist, should the error be a FileNotFoundError? Or should it also be a SudokuError: Incorrect input?","Hi Rod, I won't test it, FileNotFoundError is fine."
Assignment 2: further solving of Test 3 and 5 using preemptive set technique only,,
ass2 discussion,,
Lab7 N-queens: how should I optimize this program further?,,
[Quiz7 / Test Case] Maximum length of input?,"I recursively implemented Quiz7, and it shows Recursion error when I test it with an input longer than 994. (RecursionError: maximum recursion depth exceeded)

Is there any test case with a big sized input? If so, I will newly make it using iteration.","Hi Jinwoo, I will test smaller lists so that is not an issue. Still as a valuable exercise you should try and come up with an iterative solution."
Quiz 7 problem,,
Quiz 7 AttributeError,,
Quiz 7 Problem,,
Quiz 8,,
Quiz 8,,
Will quiz8 test extreme situation?,"I am testing the extreme situation of quiz6, for example, the grid is like

grid=[

[0,0,0,0,0,0,0,0,0,0],

[0,0,2,0,0,0,0,0,0,0],

[0,0,0,0,0,0,0,0,0,0],

[0,0,0,0,0,0,0,0,0,0],

[0,0,0,0,0,0,0,0,0,0],

[0,0,0,0,0,0,0,0,0,0],

[0,0,0,0,0,0,0,0,2,0],

[0,0,0,0,0,0,0,0,0,0],

[0,0,0,0,0,0,0,0,0,0],

[1,0,0,0,0,0,0,0,0,0],

]

and the input is like 0 1 5 5 5, start from the middle. I could not get the solution due to too heavy calculation. Any of you could get solution in such situation? Is these situations need to consider?",Your program should indeed be able to handle such a case within a few seconds. Follow Rod's advice.
Official marks,"How can we confirm our official marks? We can calculate the marks based on the mid-term formula but is there any official marks somewhere that we can confirm like give, etc. Currently, give doesn't tell any mark for 9021.","The official mark is the mark you have received, Shoaib. I do not use give indeed."
quiz8,"If has a point and all of three directions can not be chosen, so this means there is no way to get this number or we need to back last point and test another three directions","Hi Chenyang, you need to backtrack to the previous point and take another direction from there. You might have to backtrack all the way to the starting point."
Assignment 2 test script,,
Lab 7 the Target puzzle,"I cannot understand why target.change_target(’JUDGMENTS’, ’ABCDEFGHI’) is not satisfied condition below 

___________

| S | M | E |

___________

| N | G | U |

___________

| J | T | D |

___________

len(JUDGMENTS) == len(ABCDEFGHI) and they are different

'JUDGMENTS' are distinct and occur in 'SMENGUJTD'

after replacing it is a valid target

___________

| I | E | F |

___________

| G | D | B |

___________

| A | H | C |

___________

So, why it shows 'The target was not changed'


• It has a method named change_target(), that takes two arguments, to_be_replaced and

to_replace, both meant to be strings. The target will be modified if:

– to_be_replaced and to_replace are different strings of the same length;

– all letters in to_be_replaced are distinct and occur in the current target;

– replacing each letter in to_be_replaced by the corresponding letter in to_replace

yields a valid target.","Hi Junkai, because there is no word made of the letters ABCDEFGHI, the specs also say (the target) consisting of 9 distinct (uppercase) letters, from which it is possible to create one 9-letter word"
About Quiz 8,About quiz 8 i have question that should I write all my code in the function explore_depth_first or I can define some other functions by myself?,"No Jianyu, a location cannot be visited more than once. You can define other functions that would be called by explore_depth_first(), though there is not really a use for it. 

"
The target puzzle has no Run button,,
Quiz 8 additional test,,
clarification about preemptive set,,
Final exam,What should we practice for final exam? Are they the lab challenges excuding the ones before mid-term?,"Hi Shekhar, all labs from the beginning, so I can get a chance to target some of the easiest questions again."
Assignment 2,"I notice that for sudoku 4, it can be completely worked out by implementing preemptive set method while for sudoku 5 the question has not been completely accomplished yet. So we just follow the progress that can be mostly made but do not need to fully work it out? Thank you for your answer!

",A simple Google search should give you the answer.
ass2 --- preassess functions,"I wrote the preassess() function and it makes me confused

My function is to test three situations (row , column ,box) and if all passed it will return the ''There might be a solution.''  (it is worked in my computer)

However, in the 'ed' it shows me No Output. but if I change return to print , it will pass test.

So, how to explain this situation.","Hi Chenyang, preassess() is indeed supposed to print out the appropriate statement, not return a string. If preassess() returns a string s and you call preassess() from the Python prompt, then s will be displayed, but if you call preassess() from within a script, then the return value, s, is just lost."
Data in the class,"I face a problem in the class, I want to use some result from other function which means it must execute that functions at first, otherwise, it shows error
For example, after forced_tex_output(), I get a list to store number and name is ''self.result'', then I want to use this list in  marked_tex_output() but it shows me "" self.result is not define''. Unless, I run forced_tex_output() at first.

I just want to run marked_tex_output() directly without forced_tex_output() at first.
How could I execute current function without use that at first?","If I'm understanding you correctly it sounds like the calculation of 'self.result' is required by both forced_tex and marked_tex.

Why not make it a separate function that they both call when needed?"
Quiz 8 - Expected Outputs,"Could somebody confirm the expected output for the following inputs? 

Enter five integers:  0 10 9 7 11

Here is the grid that has been generated:

    6 6 0 4 8 7 6 4 7 5

    9 3 8 2 4 2 1 9 4 8

    9 2 4 1 1 5 7 8 1 5

    6 5 9 3 8 7 7 8 4 0

    8 0 1 6 0 9 7 5 3 5

    1 3 9 3 3 2 8 7 1 1

    5 8 7 1 4 8 4 1 8 5

    8 3 9 8 9 4 7 1 9 6

    5 9 3 4 2 3 2 0 9 4

    7 1 1 2 2 0 1 8 6 8

With North as initial direction, and exploring the space clockwise,

the path yielding a sum of 11 starting from (9, 7) is:

[(9, 7), (8, 7), (8, 6), (9, 6)]

and 

Enter five integers: 0 10 9 7 14

Here is the grid that has been generated:

    6 6 0 4 8 7 6 4 7 5

    9 3 8 2 4 2 1 9 4 8

    9 2 4 1 1 5 7 8 1 5

    6 5 9 3 8 7 7 8 4 0

    8 0 1 6 0 9 7 5 3 5

    1 3 9 3 3 2 8 7 1 1

    5 8 7 1 4 8 4 1 8 5

    8 3 9 8 9 4 7 1 9 6

    5 9 3 4 2 3 2 0 9 4

    7 1 1 2 2 0 1 8 6 8

With North as initial direction, and exploring the space clockwise,

the path yielding a sum of 14 starting from (9, 7) is:

[(9, 7), (8, 7), (7, 7), (6, 7), (6, 6)]",same here
Quiz 8 - X and Y,"So, the spec mentions being given an X and Y coord, and the given variables are labeled thusly. However the solutions seem to work on a (column, row) system with which would actually make it (y,x)

So can someone confirm for me is (0,0) at the top left, or bottom left? and is (0,1) to the left or or below (0,0)?","(0,0) is top left
(0,1) is to the left

When you move vertically you have to change the variable of X and when you move Horizontally you have to change the Variable of Y axis. Because
The first number in (0,0) represents the location of the first list in grid then second number represents the location of the  item of list gird[0].

X points to your rows

Y points to your column

.....y

.......0 1 2 3 4 5

x0   2 3 5 6 8 9
x1   5 8 6 4 8 9


So, for us to move vertically from 2 in grid[0][0]
we need to change it to grid[1][0]
to move horizontally, grid[0][1]"
Quiz 8 Question," have a question, if we input 0 2 0 0 1 

This means that the first point or location would be target 1 . So ,what is the final output?  no way ?  or  output is [(0,  0)] ?","[(0, 0)], Lian."
Queue simulation,,"Thanks to Hui Shao to have pointed out that for inter-arrival time, an exponential distribution, not a Poisson distribution, should be used. This is actually what I did in a previous version of this program, that I modified in different ways, and I stubbornly refused to think that this could be the problem, partly encouraged by what I had been reading, but the relationship between exponential and Poisson distribution is not what I thought it was... The archive for Lecture 9 now contains an amended version of this program."
Quiz 9 Question,,
Quiz 9 ,,"I have uploaded an amended version of quiz9 as the specs did not express properly what I had in mind, and the complication of the ill-formulated original formulation is not worth it, so I simplified it, and the expected outputs have changed accordingly. Thanks to Junnan Chen for having pointed this out."
"Lecture 9: Queue model, Poisson and exponential distribution",,
Quiz 9 - Expected number of lines of code,"I want to know approximately how many lines of code would you be expecting for Quiz 9 if it were to be written efficiently. Currently my program seems to be pretty large and I am looking for ways to cut it down.Use simple recursion to find max that should be two lines than use the max to fix the tree, in step two fix the tree when reach end and current sum is less < max (again recursion)","Hi Swarnava, you can aim for around 20 lines. "
Assignment 2,,
Sudoku forced output for sudoku_4.txt,,
Quiz 9: Input 0 0 0,"Hi Eric, 

My code handles input 0 0 0 like below, is this correct?",Correct Shekhar.
lab_9 Q2,"I am confused about that for a given word, how could we efficiently find the list of words that match the word with a 'slot' being replaced by only one letter. Cuz my methods always run for a long time. Could you give me some hint to solve it? Thank you!","Hi Hangyu, the specs provide a hint already, so keep thinking and experimenting if you have time, and otherwise wait for the solution which will come out in a couple of days."
Quiz9 tree height,"I just noticed tree printing takes time, whenever tree height goes beyond 6 and its quite difficult to verify the output for our test cases (manually) because of too much scroll. Can you please confirm, the depth you going to use in your test cases?

For example, 0 11 11 print too many lines.","Hi Shoaib, you are right, and I will indeed limit test cases to inputs that produce reasonable outputs. (Still printing should take no time when he program is run from the command line; it is a different story when one uses Idle)."
Lab_10 Q2: Possible subtractions yielding a given sum,"In Q2: I did not understand the reason why ""all ways of inserting minus signs and parentheses in L"" disallows cases like this: 1 - 2 - (3 - 4 - 5). Did you imply that the number of parentheses must be maximal? 

I tried it without setting the number of parentheses to maximal (which is 2*len(L)-4 ), and yielded a result like this:

subtractions((1, 2, 3, 4, 5), 5)

1: 1 - 2 - (3 - 4 - 5)

2: (1 - 2) - (3 - 4 - 5)

3: 1 - 2 - ((3 - 4) - 5)

4: (1 - 2) - ((3 - 4) - 5)

and I found that lines 1, 2, 3 do not contain {2*len(L)-4} parentheses, yet still satisfy the evaluation requirement.","Hi Feng, indeed the intention is that associativity rules are not left implicit, but are always explicit, so only the outmost pair of parentheses is omitted."
Lab 2: Number of trailing 0s in a factorial,"Hi Eric,

I hope you're well.  Can you please help understand the bold italic statement below?  I'm struggling to understand the steps to:

Split the multiple of 10 into multiple of 2 * 5, and 

the fact that we can use power of five based on statement ""has at least as many multiples of 2 as multiples of 5"".  I assume this is using some mathematical concepts and/or techniques.  I would greatly appreciated point me in the right direction.

N rather N!, hence that does not suffer the limitations of the first two, and is very efficient. The number of trailing 0s in N! is equal to the number of times N! is a multiple of 10, so to the number of times N! is a multiple of 2 × 5. It is easy to verify that N! has at least as many multiples of 2 as multiples of 5. Hence the number of trailing 0s in N! 

Thank you in advance for your help.","We want to find out how many 0’s we have at the end of N!, so how many times 10 divides N!, so how many times 2*5 divides N!

In N!, ever second factor is a multiple of 2 (N! = 2*3*4*5*6*7*8*9*10*…)  whereas every 5th factor is a multiple of 5 (N! = 2*3*4*5*6*7*8*9*10*…), with the first multiple of 2 (2 itself) occurring before the first multiple of 5 (5 itself).

So whatever N has happens to be, we will see more factors of 2 than factors of 5.

So the number of times 2*5 divides N! is equal to the number of times 5 divides N!, as we can always associate a 2 with each 5 we find."
Assignment 2 Part 2 - Strange error 67d66 <,,
Quiz 9 generating non negative numbers,,
Lecture Recording 13-10-2017,I have a problem with the lecture video. The audio seems fine but there is no video at all. Just wanted to check of only I am facing this problem.,"Hi Swarnava, indeed there is nothing I can do about it, as Shekhar says; how annoying! I can just go over what needs to be clarified again on Monday."
Quiz 10,"I have some problem about  Q10. I cannot understand 'inserting the members of L from those of smallest index of those of largest index results in the same priority queue'. Could you explain it please?
There are also some ploblem in leacture recording. It does not display image.","Hi Peng, there is another thread that mentions the recording problem, this is irritating,  I can only cover some of the material again on Monday. For the time being I let other students answer your question on the quiz, and will get back to it later if needed."
Assignment_2,,
quiz 10 extension,Would you please give us an extension for quiz 10 because of the recording issue? I'm not able to do the quiz without understanding the data structure and the quiz problem.,"Hi Fangqian, sure, I extend by one week"
Forced method - Sudoku_5_forced.txt,,
Fixed - Error Metafont Marked and Forced methods when generating Tex files,"I am having problems when I submit part 2 of the assignment
On my local computer everything is working and diff exits silently when I run diff. I even copyied all expected_sudoku*.tex to my pc and tested with it, as you can see in followed image.However when I try to submit, only marked and worked methods fails and there are some strange logs regarding to metafonts.
Here is the log for sudoku_3.txt() when call method sudoku.marked_tex_output()
In my computer all tests are passing for all sudoku_*.txt and generate correctly all *.tex files.
So, my guess is that I  there is some problem when creating tex files on Ed environment, as there diff exits silently when running on my local workstation.
The way I am creating tex files is creating a new tex file and print all the content in this file (header + lines + footer):
What should I do?",
Assignment2 forced output and marked output,"When I am working on Assignment 2, I find that marked output is based on forced output. That means forced_tex_output should run first, then marked_tex_output can get a correct output. However, I find that in Ed, they are tested separately. That means I have to put forced_tex_output in marked_tex_output so that marked_tex_output can generate a correct tex file. If not, the test on marked_tex_output will go wrong. Is it right to do so?","Hi Fengting, that is correct, this has been said in other posts already."
Quiz 10,"Can I slightly change the function or add some functions in the pirority_queue_adt? Itried on the ED which is passed, but I am confused about whether I could pass on your examination.","Hi Tianjian, no, a library (be it ours) is not supposed to be modified. Only put code in quiz_10.py. I will use the provided  priority_queue_adt.py for testing. I have no way to let you modify it on Ed, otherwise I would make it read only."
Assignment 2: Marked and Worked Output Spacing,,
Worked test cases (3 and 5) are being solved,"I trust you are well.  I have two test cases failing because my implementation is actually finding a valid solution for the worked test cases 3 and 5.
I don't understand why it's finding a solution unless I've implemented a technique I'm not allowed to.
Can you provide some guidance how the assignment will be graded if the implementation finds a valid solution to the puzzle?
Thank you kindly.","Hi Fred, you must have gone beyond the technique described in the paper. Make sure you only force digits in boxes, neither in rows nor in columns, as the paper says. The aim is not to solve the puzzle but to get the output expected from implementing that technique."
Module for express view of binary trees,,
Assigment 2 part 1 - ED submission,,
Assignment 2 empty cell number,,
Ass-- part2,"I passed all the tests in 'ed'. however, if I directly run the marked_tex_output(), it will produce the file of forced_tex_output() and marked_tex_output(), because I use forced function in the marked and the forced function will create a file of force.tex.","Hi Chenyang, it is not wrong, but it would be preferable to define a helper function that just forces the digits, and that will be used both by the function that produces forced.tex, and by the function(s) that deal with marking and ""working"" the grid."
Another question on forced_tex..,,
submit,,
assignment2 can't pass the test even have the exactly same result.,,
file uploaded in ass part 2,"My final file was uploaded in part 2 and after the deadline I realized it should be uploaded in part 1 as well, which results in late submission in part 1. Will this be penalized?",Thanks for reminding. I've got the same problem. Just totally forgot the part 1 after finishing part 2.
Solution for Change-making problem: greedy solution(Lab7),"Please if you could upload the solution for Change-making problem: greedy solution.
It is not available.","Hi Himanshu, thanks for pointing it out, fixed. Also recall that all solutions are  available under Resources."
The Pythonic Way,"This may be an abstract question, but what recommendations do you have as to coding more pythonically, thinking more pythonically, and understanding more pythonic code? After looking at the lab solutions, I definitely would not immediately approach a solution the same way.
Is it simply based on greater experience coding in python?","Hi Isaac, it sure comes with experience. I recommend the reading of Fluent Python by Luciano Ramalho, and Python Cookbook, by Jones and Beazley. Everyone should come across constructs that revive memories of code previously written with the realisation that there is such a better way, sometimes associated with a slight feeling of embarrassment... Then try and find out where is that code that you realised could be improved thanks to what you read, and improve it indeed. I gave you lots of programs many of which you most likely did not have time or ""incentive"" to look at, as part of the lecture material and also as optional lab questions. I strived to cover a broad range of pythonic constructs and techniques. If you study this code that should help, and of course you can read plenty of good code from a variety of sources, but I think you can learn a lot from many of the sample programs which are part of the course."
Assignment2 late submission,I upload the code on Assignment 2 Part 2. I just find out the problem and re-upload it on Part 1 and the page showed that it is a late submission. Sorry for the trouble. Will it be penalised?,"Good that you resubmitted successfully, Fengting."
About the question COMP9021 Assignment2,I have only submitted the part of my sudoku code in assignment 2 part 1 and all code in assignment 2 part2 . Are there any wrong with it ?,"Please stop asking about penalties and marks, just resubmit the way it should be submitted! The specs are clear, the whole program has to be uploaded in Part 1."
Assignment_2,I coded some extra print sentences to deal with the bugs but forgot to delete them. Does it matter?,"Hi Hangyu, of course if any extra lines are printed out, your outputs will be different to the expected outputs"
"Quiz 10: Using external functions to modify underscored attributes (e.g. _data, _length)","Is it acceptable to modify attributes using functions outside the class. For instance, I tried to delete a node in the specific position, so I wrote a function to do exactly similar as the pq.delete() method do, but to deal with the given node rather than the root. In this way, I'll need to modify attributes like pq. _data, pq._length outside the class. My program worked in this way, but I'm not sure this methodology is acceptable. After all underscored attributes should not be modified outside the class.","Hi Tianpeng, it is syntactically possible, hence it is acceptable, but it is clearly poor design and you should indeed, for the sake of the exercise, try and find a better way.

"
quiz10,"I always face this situation in my code and how could I solved it.
because the last time, I lost all the mark in the end and it show me there is incorrect of using space and tab, so, I really worry about this even through I passed all the test","Hi Chenynag, you have to make sure that you configure your editor so that spaces are inserted when pressing the tab key."
Mid-exam questions and solutions,Can you please post mid-term exam questions and solutions on ED as I wanna review it?,"Hi Fengting, you could reconstruct the questions from what I sent you, and the solutions really bring nothing new compared to the similar lab exercises, but I uploaded questions and solutions under Resources (General)."
Assignment 2,"My all test for out files are failed. I think the name of out files may be wrong. 
My files name is like ""sudoku_???_bare.tex"".",
